epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.431,1.37051,1.64003,1.50659,0.59451,0.51406,0.53754,0.29271,1.60582,1.82229,1.79451,0.0671983,9.87013e-05,9.87013e-05
2,85.0766,1.21403,1.04248,1.38895,0.83649,0.85141,0.88019,0.64513,0.95934,0.76638,1.19181,0.033955,0.000188766,0.000188766
3,127.338,1.12839,0.92411,1.32672,0.86587,0.80321,0.8829,0.56313,1.15961,0.93099,1.35584,0.000701732,0.000268831,0.000268831
4,169.579,1.12087,0.86843,1.33491,0.89301,0.88755,0.93286,0.67676,0.95393,0.68607,1.19092,0.000255,0.000255,0.000255
5,211.905,1.04478,0.79984,1.25875,0.86935,0.87952,0.92922,0.69132,0.88429,0.63481,1.15006,0.00024,0.00024,0.00024
6,254.17,1.01259,0.77965,1.24392,0.84767,0.91165,0.95015,0.70489,0.90851,0.57503,1.15008,0.000225,0.000225,0.000225
7,296.338,0.97353,0.70769,1.22096,0.93428,0.92369,0.97033,0.73434,0.83245,0.53029,1.12183,0.00021,0.00021,0.00021
8,338.656,0.94992,0.68804,1.19789,0.91643,0.91968,0.97113,0.75675,0.78193,0.51807,1.09413,0.000195,0.000195,0.000195
9,380.937,0.91009,0.65469,1.19875,0.95378,0.91162,0.97379,0.75148,0.80538,0.5021,1.10904,0.00018,0.00018,0.00018
10,423.049,0.89318,0.63092,1.18038,0.94883,0.89367,0.96393,0.73299,0.87989,0.52203,1.1563,0.000165,0.000165,0.000165
11,468.151,0.77725,0.48829,1.09497,0.9378,0.90826,0.96205,0.74135,0.80564,0.50414,1.13996,0.00015,0.00015,0.00015
12,510.412,0.71801,0.43419,1.06039,0.93839,0.91755,0.96271,0.72718,0.83961,0.50502,1.14495,0.000135,0.000135,0.000135
13,552.655,0.68445,0.40655,1.03445,0.91892,0.93976,0.9711,0.76568,0.78895,0.47452,1.11635,0.00012,0.00012,0.00012
14,594.855,0.67684,0.39093,1.02575,0.95908,0.90763,0.97481,0.76281,0.78893,0.46217,1.11585,0.000105,0.000105,0.000105
15,636.886,0.63663,0.36364,0.99666,0.9512,0.93942,0.97702,0.76388,0.79082,0.47775,1.12735,9e-05,9e-05,9e-05
16,678.973,0.60046,0.33367,0.97388,0.96538,0.94779,0.98063,0.77614,0.78478,0.41926,1.10749,7.5e-05,7.5e-05,7.5e-05
17,721.081,0.57282,0.31728,0.95939,0.94361,0.95582,0.98476,0.80656,0.72195,0.38637,1.06712,6e-05,6e-05,6e-05
18,763.19,0.53956,0.29676,0.9432,0.96741,0.95362,0.98411,0.79238,0.77261,0.38008,1.11128,4.5e-05,4.5e-05,4.5e-05
19,805.3,0.51563,0.28537,0.9376,0.96342,0.95984,0.98562,0.81672,0.70774,0.36383,1.09309,3e-05,3e-05,3e-05
20,847.487,0.49907,0.27373,0.93541,0.96041,0.97416,0.98892,0.81971,0.70156,0.36068,1.0776,1.5e-05,1.5e-05,1.5e-05
